delivery_price,delivery_rating,name,no_of_review,price,rating,seller,seller_rating,stock
70.0,100.0,Pods Pro Wireless Earbuds,8.0,615.0,0.0,New RC Store,76.0,2.0
70.0,100.0,BoxÂ white colour  Strap Design Crossbody  Shoulder Bag For Women,306.0,399.0,5.0,World Fashion Bag,81.0,15.0
70.0,98.0,Pebbles Nepal Gold/Silver color Adjustable and Minimal Ring Set Resizable Ring for Women | Everyday Wear  - 22 Pieces Set,359.0,248.0,5.0,Pebbles Nepal,84.0,15.0
70.0,100.0,AR Jordan Grey Black High Shoes for Men,113.0,1799.0,5.0,Shoes Spot,76.0,2.0
70.0,100.0,Imxia F 5% Solution Minoxidil And Finasteride 60ml,333.0,1290.0,5.0,sirutar pharmacy,88.0,15.0
70.0,100.0,Tws Wireless Bluetooth Airbuds Charging Case Super Sound Top Selling,3.0,599.0,5.0,Dashain Dhamaka,86.0,15.0
70.0,96.0,"Premium Kojic Acid Soap by Zuwa Cosmetics, Exfoliates, Smoothens, Lightens - 135 gm",1647.0,250.0,5.0,Allure Cosmetics,87.0,15.0
0.0,88.0,1 L Durable Plastic Water Bottle - Model FB-5557,1.0,469.0,5.0,BLES ONLINE,88.0,0.0
70.0,100.0,LeTan Watermelon SPF 50+ Sunscreen Lotion 125ML,114.0,1480.0,4.1,Mishisa Cosmetic,85.0,15.0
70.0,93.0,Shangrila Pack Of 4 Cotton T-Shirt For Men - Black | Navy |Grey | Maroon | Fashion | T-Shirt For Men |,632.0,914.0,4.1,SHANGRI-LA,87.0,9.0
70.0,88.0,"ProArt Air Dry Hardening Modelling Clay- 500G, Professional Quality , Packaging May Vary",267.0,270.0,4.1,Vicky Arts,92.0,15.0
70.0,88.0,"ProArt Vicky Paint Brush Set Of 10 For Oil And Acrylics (Synthetic, Short Handle)",420.0,299.0,4.1,Vicky Arts,92.0,15.0
70.0,100.0,Non Lace Cloth Shoes For Women,2.0,512.0,4.1,De Glamora,79.0,9.0
70.0,88.0,Sakura Pigma Micron Pen - Set Of 6,539.0,719.0,4.1,Vicky Arts,92.0,15.0
70.0,100.0,Hair Mask Karseell Collagen 16.9 OZ 500ml,35.0,570.0,4.1,Galaxy shopping 1640505931,85.0,15.0
120.0,80.0,Titex White Color Simple Fashionable Sneakers For Women-1203,164.0,900.0,4.1,TITEX,84.0,8.0
70.0,98.0,Black Solid Chest Guard For Bike Riding,2.0,226.0,4.3,Shirsha Online,80.0,15.0
70.0,100.0,WhiteMoon Fluffy Triflod Series Flow Guard 240MM Sanitary Pads 8 Pcs Pack of 6,236.0,250.0,0.0,Birat Healthcare Industries,87.0,15.0
70.0,100.0,Cotton Period Panties  / 3pcs Menstrual Heavy Flow Leak-Proof Period Panties,57.0,449.0,4.7,Smart Buy Online,0.0,15.0
70.0,94.0,Pack Of 4 Men Unlock Boxer Briefs  Underwear (Color May Vary) By Arushi,442.0,428.0,4.7,Arushi,81.0,15.0
0.0,0.0,The Psychology of Money By Morgan Housel,4.0,130.0,4.7,Lakhe Book Store,0.0,0.0
70.0,100.0,SB Dunk Low Pro Laced Up Comfortable Stylish Sneaker Shoes For Men By Jutta Ghar Nepal (Updated Colours),1565.0,1529.0,4.7,Jutta Ghar Nepal,76.0,4.0
70.0,96.0,Extra Pure Gluta White Soap by Zuwa Cosmetics Lightening | Whitens | Anti - Ageing | Anti Inflammatory - 135 gm,207.0,250.0,4.7,Allure Cosmetics,87.0,15.0
550.0,99.0,SPN-s Adjustable Dumbbell Set - 20 kg Home Gym Equipment | 2 In 1 Extendable Rod Dumbbell Set | Home Gym Accessories,287.0,4599.0,4.7,SPN'S,90.0,10.0
70.0,93.0,MuscleBlaze CREAPRO Creatine Monohydrate 250g 83 Servings Creapure Micronized Powder for Muscle and Strength Gain,165.0,2600.0,4.7,MuscleBlaze,92.0,9.0
70.0,0.0,24K Golden Playing Cards Waterproof Cards Golden Playing Card Set,2.0,299.0,4.7,E Bazzar,0.0,3.0
70.0,0.0,Square Vintage Korean Tortoise Printed Frame Trendy Sunglasses for Men ( Case Not Included ),6.0,142.0,4.7,First Looks,0.0,15.0
70.0,100.0,Pack Of 3 Multicolor 100% Smell Proof Ankle Length Socks for Men and Women by Comfort Corner,77.0,149.0,4.4,Comfort Corner,87.0,15.0
70.0,100.0,Sadoer Face Mask And Pack Of 2 Rose Handcream 30g*2,9.0,190.0,4.4,Bajra Beauty,85.0,15.0
70.0,100.0,Silver Unisex Y2K Sunglasses For Men And Women,26.0,698.0,4.4,ShadesNepal,88.0,15.0
70.0,97.0,Stainless Steel Pole Spin Mop Extendable Handle 360 Degree Rotating Floor Cleaning Mop- Blue,15.0,410.0,4.4,Fitness Nepal,83.0,15.0
70.0,100.0,Artificial Rubber Hanging Plants For Wall Indoor Outdoor Decoration (No Baskets),13.0,579.0,4.4,Mero Interior,73.0,15.0
70.0,88.0,Art Ranger Artist Acrylic Color Set 12 Tubes Set Each 12ML,166.0,342.0,4.4,Vicky Arts,92.0,15.0
125.0,100.0,"Tulip Relax Fiber Pillow (Set Of Two) -16"" X 26""",294.0,850.0,4.4,Tulip,91.0,15.0
70.0,100.0,Baba's Nappy Baby Pull Up Diaper Economic Pack,62.0,883.0,4.4,Baba's Nappy,88.0,7.0
70.0,95.0,4 In 1 Multifunction Baby Carry Bag,39.0,1063.0,4.3,Royal fitness,80.0,15.0
70.0,87.0,Brillare Hair Fall Control Shampoo To Reduce Seasonal Hair Fall - 300 Ml,112.0,856.0,4.6,Brillare,86.0,15.0
70.0,100.0,Sensitive Baby Wipes 80/90 PCS - Pack Of 10,227.0,816.0,3.9,Moms and kids joy,90.0,15.0
70.0,98.0,Loose Pack Adult Dog Food 500gm By Crown Aquatics,298.0,135.0,3.9,Crown Aquatics,91.0,15.0
70.0,74.0,Ressence Enterprises Honeycomb Style Wall Decor Wooden Shelf Pack Of 5,359.0,805.0,3.9,Ressence Enterprises,86.0,15.0
70.0,91.0,Sculpt and Blend Fan Faves Makeup Brush Set of 10,331.0,428.0,3.9,guddu cosmetic store,86.0,15.0
70.0,88.0,"Camel Fabrica Acrylic Fabric Color Paint Set, 15ml, 10 Shades",499.0,339.0,3.9,Vicky Arts,92.0,6.0
70.0,95.0,Mini USB HUB 3.0 5Gbps 4 Ports Micro Splitter Adapter,282.0,312.0,3.9,Home Shop Nepal,78.0,15.0
0.0,100.0,"Digital Thermos Bottle 500ml Vacuum Flasks Led Digital Temperature Display, Stainless Steel Intelligent Thermos Cups",121.0,410.0,3.9,e-Factory,80.0,0.0
70.0,88.0,Runiu Cow Candy Gai Chocolate Milk Soft Candy 350 plus Gm Original RuNiu  Snack,66.0,411.0,3.9,Subha Abik Store,87.0,15.0
70.0,100.0,Prega News Pregnancy Test Kit,138.0,75.0,0.0,Moms and kids joy,90.0,15.0
70.0,98.0,Super Viga 50000 Strong Delay Spray With Vitamin E 45ml,154.0,395.0,0.0,PBT Shop,78.0,15.0
0.0,0.0,Ikigai By Hector Hardcover,2.0,145.0,0.0,Lakhe Book Store,0.0,0.0
70.0,100.0,I Don't Love You Anymore By Rithvik Singh,44.0,165.0,0.0,Book Media,83.0,15.0
70.0,100.0,4 In 1 Car And Home Handheld Mini Portable Vacuum Cleaner,6.0,699.0,0.0,Home Tech Nepal,82.0,15.0
